id,name,base_experience,height,weight,speed,hp,attack,defense,special-attack,special-defense,forms,species,is_default,pokemon_order,type1,type2,ability1,ability2,ability3,base_happiness,capture_rate,color,evolves_from_species,forms_switchable,generation,growth_rate,habitat,has_gender_differences,hatch_counter,is_baby,is_legendary,is_mythical,species_order,pal_park_encounters,shape,varieties,egg_group1,egg_group2,%_female,%_male
10093,raticate-totem-alola,145.0,14,1050,77,75,71,70,40,80,raticate-totem-alola,raticate,False,29,dark,normal,gluttony,hustle,thick-fat,70,127,brown,rattata,False,1,medium,grassland,True,15.0,False,False,False,20,field,quadruped,"['raticate', 'raticate-alola', 'raticate-totem-alola']",ground,,50.0,50.0
21,spearow,52.0,3,20,70,40,60,30,31,31,spearow,spearow,True,30,normal,flying,keen-eye,sniper,,70,255,brown,,False,1,medium,rough-terrain,False,15.0,False,False,False,21,field,wings,['spearow'],flying,,50.0,50.0
22,fearow,155.0,12,380,100,65,90,65,61,61,fearow,fearow,True,31,normal,flying,keen-eye,sniper,,70,90,brown,spearow,False,1,medium,rough-terrain,False,15.0,False,False,False,22,field,wings,['fearow'],flying,,50.0,50.0
23,ekans,58.0,20,69,55,35,60,44,40,54,ekans,ekans,True,32,poison,,intimidate,shed-skin,unnerve,70,255,purple,,False,1,medium,grassland,False,20.0,False,False,False,23,forest,squiggle,['ekans'],ground,dragon,50.0,50.0
24,arbok,157.0,35,650,80,60,95,69,65,79,arbok,arbok,True,33,poison,,intimidate,shed-skin,unnerve,70,90,purple,ekans,False,1,medium,grassland,False,20.0,False,False,False,24,forest,squiggle,['arbok'],ground,dragon,50.0,50.0
25,pikachu,112.0,4,60,90,35,55,40,50,50,pikachu,pikachu,True,35,electric,,static,lightning-rod,,50,190,yellow,pichu,False,1,medium,forest,True,10.0,False,False,False,26,forest,quadruped,"['pikachu', 'pikachu-rock-star', 'pikachu-belle', 'pikachu-pop-star', 'pikachu-phd', 'pikachu-libre', 'pikachu-cosplay', 'pikachu-original-cap', 'pikachu-hoenn-cap', 'pikachu-sinnoh-cap', 'pikachu-unova-cap', 'pikachu-kalos-cap', 'pikachu-alola-cap', 'pikachu-partner-cap', 'pikachu-starter', 'pikachu-world-cap', 'pikachu-gmax']",ground,fairy,50.0,50.0
10080,pikachu-rock-star,112.0,4,60,90,35,55,40,50,50,pikachu-rock-star,pikachu,False,37,electric,,static,lightning-rod,,50,190,yellow,pichu,False,1,medium,forest,True,10.0,False,False,False,26,forest,quadruped,"['pikachu', 'pikachu-rock-star', 'pikachu-belle', 'pikachu-pop-star', 'pikachu-phd', 'pikachu-libre', 'pikachu-cosplay', 'pikachu-original-cap', 'pikachu-hoenn-cap', 'pikachu-sinnoh-cap', 'pikachu-unova-cap', 'pikachu-kalos-cap', 'pikachu-alola-cap', 'pikachu-partner-cap', 'pikachu-starter', 'pikachu-world-cap', 'pikachu-gmax']",ground,fairy,50.0,50.0
10081,pikachu-belle,112.0,4,60,90,35,55,40,50,50,pikachu-belle,pikachu,False,38,electric,,static,lightning-rod,,50,190,yellow,pichu,False,1,medium,forest,True,10.0,False,False,False,26,forest,quadruped,"['pikachu', 'pikachu-rock-star', 'pikachu-belle', 'pikachu-pop-star', 'pikachu-phd', 'pikachu-libre', 'pikachu-cosplay', 'pikachu-original-cap', 'pikachu-hoenn-cap', 'pikachu-sinnoh-cap', 'pikachu-unova-cap', 'pikachu-kalos-cap', 'pikachu-alola-cap', 'pikachu-partner-cap', 'pikachu-starter', 'pikachu-world-cap', 'pikachu-gmax']",ground,fairy,50.0,50.0
10082,pikachu-pop-star,112.0,4,60,90,35,55,40,50,50,pikachu-pop-star,pikachu,False,39,electric,,static,lightning-rod,,50,190,yellow,pichu,False,1,medium,forest,True,10.0,False,False,False,26,forest,quadruped,"['pikachu', 'pikachu-rock-star', 'pikachu-belle', 'pikachu-pop-star', 'pikachu-phd', 'pikachu-libre', 'pikachu-cosplay', 'pikachu-original-cap', 'pikachu-hoenn-cap', 'pikachu-sinnoh-cap', 'pikachu-unova-cap', 'pikachu-kalos-cap', 'pikachu-alola-cap', 'pikachu-partner-cap', 'pikachu-starter', 'pikachu-world-cap', 'pikachu-gmax']",ground,fairy,50.0,50.0
10083,pikachu-phd,112.0,4,60,90,35,55,40,50,50,pikachu-phd,pikachu,False,40,electric,,static,lightning-rod,,50,190,yellow,pichu,False,1,medium,forest,True,10.0,False,False,False,26,forest,quadruped,"['pikachu', 'pikachu-rock-star', 'pikachu-belle', 'pikachu-pop-star', 'pikachu-phd', 'pikachu-libre', 'pikachu-cosplay', 'pikachu-original-cap', 'pikachu-hoenn-cap', 'pikachu-sinnoh-cap', 'pikachu-unova-cap', 'pikachu-kalos-cap', 'pikachu-alola-cap', 'pikachu-partner-cap', 'pikachu-starter', 'pikachu-world-cap', 'pikachu-gmax']",ground,fairy,50.0,50.0
10084,pikachu-libre,112.0,4,60,90,35,55,40,50,50,pikachu-libre,pikachu,False,41,electric,,static,lightning-rod,,50,190,yellow,pichu,False,1,medium,forest,True,10.0,False,False,False,26,forest,quadruped,"['pikachu', 'pikachu-rock-star', 'pikachu-belle', 'pikachu-pop-star', 'pikachu-phd', 'pikachu-libre', 'pikachu-cosplay', 'pikachu-original-cap', 'pikachu-hoenn-cap', 'pikachu-sinnoh-cap', 'pikachu-unova-cap', 'pikachu-kalos-cap', 'pikachu-alola-cap', 'pikachu-partner-cap', 'pikachu-starter', 'pikachu-world-cap', 'pikachu-gmax']",ground,fairy,50.0,50.0
10085,pikachu-cosplay,112.0,4,60,90,35,55,40,50,50,pikachu-cosplay,pikachu,False,36,electric,,static,lightning-rod,,50,190,yellow,pichu,False,1,medium,forest,True,10.0,False,False,False,26,forest,quadruped,"['pikachu', 'pikachu-rock-star', 'pikachu-belle', 'pikachu-pop-star', 'pikachu-phd', 'pikachu-libre', 'pikachu-cosplay', 'pikachu-original-cap', 'pikachu-hoenn-cap', 'pikachu-sinnoh-cap', 'pikachu-unova-cap', 'pikachu-kalos-cap', 'pikachu-alola-cap', 'pikachu-partner-cap', 'pikachu-starter', 'pikachu-world-cap', 'pikachu-gmax']",ground,fairy,50.0,50.0
10094,pikachu-original-cap,112.0,4,60,90,35,55,40,50,50,pikachu-original-cap,pikachu,False,42,electric,,static,lightning-rod,,50,190,yellow,pichu,False,1,medium,forest,True,10.0,False,False,False,26,forest,quadruped,"['pikachu', 'pikachu-rock-star', 'pikachu-belle', 'pikachu-pop-star', 'pikachu-phd', 'pikachu-libre', 'pikachu-cosplay', 'pikachu-original-cap', 'pikachu-hoenn-cap', 'pikachu-sinnoh-cap', 'pikachu-unova-cap', 'pikachu-kalos-cap', 'pikachu-alola-cap', 'pikachu-partner-cap', 'pikachu-starter', 'pikachu-world-cap', 'pikachu-gmax']",ground,fairy,50.0,50.0
10095,pikachu-hoenn-cap,112.0,4,60,90,35,55,40,50,50,pikachu-hoenn-cap,pikachu,False,43,electric,,static,lightning-rod,,50,190,yellow,pichu,False,1,medium,forest,True,10.0,False,False,False,26,forest,quadruped,"['pikachu', 'pikachu-rock-star', 'pikachu-belle', 'pikachu-pop-star', 'pikachu-phd', 'pikachu-libre', 'pikachu-cosplay', 'pikachu-original-cap', 'pikachu-hoenn-cap', 'pikachu-sinnoh-cap', 'pikachu-unova-cap', 'pikachu-kalos-cap', 'pikachu-alola-cap', 'pikachu-partner-cap', 'pikachu-starter', 'pikachu-world-cap', 'pikachu-gmax']",ground,fairy,50.0,50.0
10096,pikachu-sinnoh-cap,112.0,4,60,90,35,55,40,50,50,pikachu-sinnoh-cap,pikachu,False,44,electric,,static,lightning-rod,,50,190,yellow,pichu,False,1,medium,forest,True,10.0,False,False,False,26,forest,quadruped,"['pikachu', 'pikachu-rock-star', 'pikachu-belle', 'pikachu-pop-star', 'pikachu-phd', 'pikachu-libre', 'pikachu-cosplay', 'pikachu-original-cap', 'pikachu-hoenn-cap', 'pikachu-sinnoh-cap', 'pikachu-unova-cap', 'pikachu-kalos-cap', 'pikachu-alola-cap', 'pikachu-partner-cap', 'pikachu-starter', 'pikachu-world-cap', 'pikachu-gmax']",ground,fairy,50.0,50.0
10097,pikachu-unova-cap,112.0,4,60,90,35,55,40,50,50,pikachu-unova-cap,pikachu,False,45,electric,,static,lightning-rod,,50,190,yellow,pichu,False,1,medium,forest,True,10.0,False,False,False,26,forest,quadruped,"['pikachu', 'pikachu-rock-star', 'pikachu-belle', 'pikachu-pop-star', 'pikachu-phd', 'pikachu-libre', 'pikachu-cosplay', 'pikachu-original-cap', 'pikachu-hoenn-cap', 'pikachu-sinnoh-cap', 'pikachu-unova-cap', 'pikachu-kalos-cap', 'pikachu-alola-cap', 'pikachu-partner-cap', 'pikachu-starter', 'pikachu-world-cap', 'pikachu-gmax']",ground,fairy,50.0,50.0
10098,pikachu-kalos-cap,112.0,4,60,90,35,55,40,50,50,pikachu-kalos-cap,pikachu,False,46,electric,,static,lightning-rod,,50,190,yellow,pichu,False,1,medium,forest,True,10.0,False,False,False,26,forest,quadruped,"['pikachu', 'pikachu-rock-star', 'pikachu-belle', 'pikachu-pop-star', 'pikachu-phd', 'pikachu-libre', 'pikachu-cosplay', 'pikachu-original-cap', 'pikachu-hoenn-cap', 'pikachu-sinnoh-cap', 'pikachu-unova-cap', 'pikachu-kalos-cap', 'pikachu-alola-cap', 'pikachu-partner-cap', 'pikachu-starter', 'pikachu-world-cap', 'pikachu-gmax']",ground,fairy,50.0,50.0
10099,pikachu-alola-cap,112.0,4,60,90,35,55,40,50,50,pikachu-alola-cap,pikachu,False,47,electric,,static,lightning-rod,,50,190,yellow,pichu,False,1,medium,forest,True,10.0,False,False,False,26,forest,quadruped,"['pikachu', 'pikachu-rock-star', 'pikachu-belle', 'pikachu-pop-star', 'pikachu-phd', 'pikachu-libre', 'pikachu-cosplay', 'pikachu-original-cap', 'pikachu-hoenn-cap', 'pikachu-sinnoh-cap', 'pikachu-unova-cap', 'pikachu-kalos-cap', 'pikachu-alola-cap', 'pikachu-partner-cap', 'pikachu-starter', 'pikachu-world-cap', 'pikachu-gmax']",ground,fairy,50.0,50.0
10148,pikachu-partner-cap,112.0,4,60,90,35,55,40,50,50,pikachu-partner-cap,pikachu,False,48,electric,,static,lightning-rod,,50,190,yellow,pichu,False,1,medium,forest,True,10.0,False,False,False,26,forest,quadruped,"['pikachu', 'pikachu-rock-star', 'pikachu-belle', 'pikachu-pop-star', 'pikachu-phd', 'pikachu-libre', 'pikachu-cosplay', 'pikachu-original-cap', 'pikachu-hoenn-cap', 'pikachu-sinnoh-cap', 'pikachu-unova-cap', 'pikachu-kalos-cap', 'pikachu-alola-cap', 'pikachu-partner-cap', 'pikachu-starter', 'pikachu-world-cap', 'pikachu-gmax']",ground,fairy,50.0,50.0
10158,pikachu-starter,86.0,4,60,120,45,80,50,75,60,pikachu-starter,pikachu,False,49,electric,,static,lightning-rod,,50,190,yellow,pichu,False,1,medium,forest,True,10.0,False,False,False,26,forest,quadruped,"['pikachu', 'pikachu-rock-star', 'pikachu-belle', 'pikachu-pop-star', 'pikachu-phd', 'pikachu-libre', 'pikachu-cosplay', 'pikachu-original-cap', 'pikachu-hoenn-cap', 'pikachu-sinnoh-cap', 'pikachu-unova-cap', 'pikachu-kalos-cap', 'pikachu-alola-cap', 'pikachu-partner-cap', 'pikachu-starter', 'pikachu-world-cap', 'pikachu-gmax']",ground,fairy,50.0,50.0
10160,pikachu-world-cap,112.0,4,60,90,35,55,40,50,50,pikachu-world-cap,pikachu,False,50,electric,,static,lightning-rod,,50,190,yellow,pichu,False,1,medium,forest,True,10.0,False,False,False,26,forest,quadruped,"['pikachu', 'pikachu-rock-star', 'pikachu-belle', 'pikachu-pop-star', 'pikachu-phd', 'pikachu-libre', 'pikachu-cosplay', 'pikachu-original-cap', 'pikachu-hoenn-cap', 'pikachu-sinnoh-cap', 'pikachu-unova-cap', 'pikachu-kalos-cap', 'pikachu-alola-cap', 'pikachu-partner-cap', 'pikachu-starter', 'pikachu-world-cap', 'pikachu-gmax']",ground,fairy,50.0,50.0
10199,pikachu-gmax,112.0,210,10000,90,35,55,40,50,50,pikachu-gmax,pikachu,False,-1,electric,,static,lightning-rod,,50,190,yellow,pichu,False,1,medium,forest,True,10.0,False,False,False,26,forest,quadruped,"['pikachu', 'pikachu-rock-star', 'pikachu-belle', 'pikachu-pop-star', 'pikachu-phd', 'pikachu-libre', 'pikachu-cosplay', 'pikachu-original-cap', 'pikachu-hoenn-cap', 'pikachu-sinnoh-cap', 'pikachu-unova-cap', 'pikachu-kalos-cap', 'pikachu-alola-cap', 'pikachu-partner-cap', 'pikachu-starter', 'pikachu-world-cap', 'pikachu-gmax']",ground,fairy,50.0,50.0
26,raichu,243.0,8,300,110,60,90,55,90,80,raichu,raichu,True,51,electric,,static,lightning-rod,,50,75,yellow,pikachu,False,1,medium,forest,True,10.0,False,False,False,27,forest,upright,"['raichu', 'raichu-alola']",ground,fairy,50.0,50.0
10100,raichu-alola,243.0,7,210,110,60,85,50,95,85,raichu-alola,raichu,False,52,electric,psychic,surge-surfer,,,50,75,yellow,pikachu,False,1,medium,forest,True,10.0,False,False,False,27,forest,upright,"['raichu', 'raichu-alola']",ground,fairy,50.0,50.0
27,sandshrew,60.0,6,120,40,50,75,85,20,30,sandshrew,sandshrew,True,53,ground,,sand-veil,sand-rush,,50,255,yellow,,False,1,medium,rough-terrain,False,20.0,False,False,False,28,mountain,upright,"['sandshrew', 'sandshrew-alola']",ground,,50.0,50.0
10101,sandshrew-alola,60.0,7,400,40,50,75,90,10,35,sandshrew-alola,sandshrew,False,54,ice,steel,snow-cloak,slush-rush,,50,255,yellow,,False,1,medium,rough-terrain,False,20.0,False,False,False,28,mountain,upright,"['sandshrew', 'sandshrew-alola']",ground,,50.0,50.0
28,sandslash,158.0,10,295,65,75,100,110,45,55,sandslash,sandslash,True,55,ground,,sand-veil,sand-rush,,50,90,yellow,sandshrew,False,1,medium,rough-terrain,False,20.0,False,False,False,29,mountain,upright,"['sandslash', 'sandslash-alola']",ground,,50.0,50.0
10102,sandslash-alola,158.0,12,550,65,75,100,120,25,65,sandslash-alola,sandslash,False,56,ice,steel,snow-cloak,slush-rush,,50,90,yellow,sandshrew,False,1,medium,rough-terrain,False,20.0,False,False,False,29,mountain,upright,"['sandslash', 'sandslash-alola']",ground,,50.0,50.0
29,nidoran-f,55.0,4,70,41,55,47,52,40,40,nidoran-f,nidoran-f,True,57,poison,,poison-point,rivalry,hustle,50,235,blue,,False,1,medium-slow,grassland,False,20.0,False,False,False,30,field,quadruped,['nidoran-f'],monster,ground,100.0,0.0
30,nidorina,128.0,8,200,56,70,62,67,55,55,nidorina,nidorina,True,58,poison,,poison-point,rivalry,hustle,50,120,blue,nidoran-f,False,1,medium-slow,grassland,False,20.0,False,False,False,31,field,quadruped,['nidorina'],no-eggs,,100.0,0.0
31,nidoqueen,253.0,13,600,76,90,92,87,75,85,nidoqueen,nidoqueen,True,59,poison,ground,poison-point,rivalry,sheer-force,50,45,blue,nidorina,False,1,medium-slow,grassland,False,20.0,False,False,False,32,field,upright,['nidoqueen'],no-eggs,,100.0,0.0
32,nidoran-m,55.0,5,90,50,46,57,40,40,40,nidoran-m,nidoran-m,True,60,poison,,poison-point,rivalry,hustle,50,235,purple,,False,1,medium-slow,grassland,False,20.0,False,False,False,33,field,quadruped,['nidoran-m'],monster,ground,0.0,100.0
33,nidorino,128.0,9,195,65,61,72,57,55,55,nidorino,nidorino,True,61,poison,,poison-point,rivalry,hustle,50,120,purple,nidoran-m,False,1,medium-slow,grassland,False,20.0,False,False,False,34,field,quadruped,['nidorino'],monster,ground,0.0,100.0
34,nidoking,253.0,14,620,85,81,102,77,85,75,nidoking,nidoking,True,62,poison,ground,poison-point,rivalry,sheer-force,50,45,purple,nidorino,False,1,medium-slow,grassland,False,20.0,False,False,False,35,field,upright,['nidoking'],monster,ground,0.0,100.0
35,clefairy,113.0,6,75,35,70,45,48,60,65,clefairy,clefairy,True,64,fairy,,cute-charm,magic-guard,friend-guard,140,150,pink,cleffa,False,1,fast,mountain,False,10.0,False,False,False,37,mountain,upright,['clefairy'],fairy,,75.0,25.0
36,clefable,242.0,13,400,60,95,70,73,95,90,clefable,clefable,True,65,fairy,,cute-charm,magic-guard,unaware,140,25,pink,clefairy,False,1,fast,mountain,False,10.0,False,False,False,38,mountain,upright,['clefable'],fairy,,75.0,25.0
37,vulpix,60.0,6,99,65,38,41,40,50,65,vulpix,vulpix,True,66,fire,,flash-fire,drought,,50,190,brown,,False,1,medium,grassland,False,20.0,False,False,False,39,field,quadruped,"['vulpix', 'vulpix-alola']",ground,,75.0,25.0
10103,vulpix-alola,60.0,6,99,65,38,41,40,50,65,vulpix-alola,vulpix,False,67,ice,,snow-cloak,snow-warning,,50,190,brown,,False,1,medium,grassland,False,20.0,False,False,False,39,field,quadruped,"['vulpix', 'vulpix-alola']",ground,,75.0,25.0
38,ninetales,177.0,11,199,100,73,76,75,81,100,ninetales,ninetales,True,68,fire,,flash-fire,drought,,50,75,yellow,vulpix,False,1,medium,grassland,False,20.0,False,False,False,40,field,quadruped,"['ninetales', 'ninetales-alola']",ground,,75.0,25.0
10104,ninetales-alola,177.0,11,199,109,73,67,75,81,100,ninetales-alola,ninetales,False,69,ice,fairy,snow-cloak,snow-warning,,50,75,yellow,vulpix,False,1,medium,grassland,False,20.0,False,False,False,40,field,quadruped,"['ninetales', 'ninetales-alola']",ground,,75.0,25.0
39,jigglypuff,95.0,5,55,20,115,45,20,45,25,jigglypuff,jigglypuff,True,71,normal,fairy,cute-charm,competitive,friend-guard,50,170,pink,igglybuff,False,1,fast,grassland,False,10.0,False,False,False,42,field,humanoid,['jigglypuff'],fairy,,75.0,25.0
40,wigglytuff,218.0,10,120,45,140,70,45,85,50,wigglytuff,wigglytuff,True,72,normal,fairy,cute-charm,competitive,frisk,50,50,pink,jigglypuff,False,1,fast,grassland,False,10.0,False,False,False,43,field,humanoid,['wigglytuff'],fairy,,75.0,25.0
41,zubat,49.0,8,75,55,40,45,35,30,40,zubat,zubat,True,73,poison,flying,inner-focus,infiltrator,,50,255,purple,,False,1,medium,cave,True,15.0,False,False,False,44,mountain,wings,['zubat'],flying,,50.0,50.0
42,golbat,159.0,16,550,90,75,80,70,65,75,golbat,golbat,True,74,poison,flying,inner-focus,infiltrator,,50,90,purple,zubat,False,1,medium,cave,True,15.0,False,False,False,45,mountain,wings,['golbat'],flying,,50.0,50.0
43,oddish,64.0,5,54,30,45,50,55,75,65,oddish,oddish,True,76,grass,poison,chlorophyll,run-away,,50,255,blue,,False,1,medium-slow,grassland,False,20.0,False,False,False,47,forest,legs,['oddish'],plant,,50.0,50.0
